Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education
69,Heineken,,,"London, United Kingdom",Netherlands,Married,5,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden"
61,"Medical devices, Self Made",,,"Shenzhen, China",Hong Kong,,,"EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University"
59,"Automobiles, Self Made",,,"Baoding, China",China,Married,,"Bachelor of Arts/Science, Hebei Province"
69,"Steel, telecom, investments, Self Made",,,"Tashkent, Uzbekistan",Russia,Divorced,,"Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations"
96,"Paints, Self Made",,,"Singapore, Singapore",Singapore,Widowed,3,
56,Commodities,,,"Mumbai, India",India,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Mumbai"
66,"Cement, sugar, Self Made",,,"Lagos, Nigeria",Nigeria,Divorced,3,"Bachelor of Arts/Science, Al-Azhar University"
93,Real estate,,,"Hong Kong, Hong Kong",Hong Kong,Widowed,4,
67,Shipping,,,"London, United Kingdom",Israel,Married,5,
57,"Hospitals, Self Made",,,"Changsha, China",China,Married,,"Master of Business Administration, Hunan University"
94,"Casinos/hotels, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,5,
78,"Shipping, Self Made",,,"London, United Kingdom",Cyprus,Widowed,2,
76,"Building supplies, Self Made",9,1,"Afton, Wisconsin",United States,Widowed,7,"Diploma, High School"
47,"WhatsApp, Self Made",10,2,"Atherton, California",United States,Single,,"Drop Out, San Jose State University"
80,"Dallas Cowboys, Self Made",8,1,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas"
81,"Oil & gas, banking",5,4,"Tulsa, Oklahoma",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
72,"Real estate, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Divorced,6,
60,"Automobiles, batteries, Self Made",,,"Guangzhou, China",China,Married,,
90,"Real estate, Self Made",,,"Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of Leeds"
64,"Banking, Self Made",,,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai"
76,"Sports, real estate, Self Made",6,,"Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri"
59,"Oil, banking, telecom, Self Made",,,"London, United Kingdom",Russia,Divorced,5,"Master of Science, Moscow Institute of Steel and Alloys"
58,"energy, Self Made",,,"Bangkok, Thailand",Thailand,Married,,"Bachelor of Science in Engineering, Chulalongkorn University; Master of Science in Engineering, University of Southern California"
50,"Coal, Self Made",,,"Yinchuan, China",China,,,"Master of Business Administration, Peking University"
69,"Vaccines, Self Made",,,"Chongqing, China",China,Married,1,"Associate in Arts/Science, Guilin Medical University"
73,"Auto parts, Self Made",10,1,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
59,"Apple, Disney",2,1,"Palo Alto, California",United States,Widowed,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
99,"Palm oil, shipping, property, Self Made",,,"Hong Kong, Hong Kong",Malaysia,Married,8,"Bachelor of Arts/Science, Raffles College"
83,"Real estate, Self Made",8,2,"New York, New York",United States,Married,4,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University"
38,"Messaging app, Self Made",,,"Dubai, United Arab Emirates",United Arab Emirates,Single,2,"Master of Science, Saint Petersburg State University"
73,"Pharmaceuticals, Self Made",,,"Tegernsee, Germany",Germany,Married,2,"Medical Doctor, University at Buffalo"
73,"Pharmaceuticals, Self Made",,,"Tegernsee, Germany",Germany,Married,4,"Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg"
59,"Agribusiness, Self Made",,,"Chengdu, China",China,Married,,"Bachelor of Arts/Science, Sichuan University"
51,"Online retail, Self Made",8,1,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University"
74,"Hedge funds, Self Made",9,1,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, New York University"
69,"Fertilizer, real estate, Self Made",,,"Herzliya, Israel",Russia,Married,5,"Ph.D, Moscow Aviation University"
63,Manufacturing,,,"Melbourne, Australia",Australia,,2,"Bachelor of Arts/Economics, Monash University"
58,"Investments, Self Made",,,"Frauenfeld, Switzerland",Russia,Single,,"Master of Economics, Moscow Institute of Finance"
89,"Luxury goods, Self Made",,,"Milan, Italy",Italy,Single,,"Drop Out, University of Piacenza"
73,Luxury goods,,,"Cape Town, South Africa",South Africa,Married,3,
58,"Video surveillance, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Arts/Science, Huazhong University of Science and Technology"
51,"Internet media, Self Made",,,"Shenzhen, China",China,,,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology"
83,"Energy, sports, entertainment",5,3,"Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas"
86,"Gas stations, Self Made",9,1,"Oklahoma City, Oklahoma",United States,Widowed,4,"Drop Out, St. John's University (MN); Bachelor of Arts/Science, University of Central Oklahoma"
67,"Retail, media",,,"Mexico City, Mexico",Mexico,Married,6,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey"
94,Media,5,2,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University"
82,"Manufacturing, New England Patriots, Self Made",8,3,"Brookline, Massachusetts",United States,"Widowed, Remarried",4,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School"
73,"Beer, Self Made",,,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
57,"Gold, Self Made",,,"Moscow, Russia",Russia,Married,3,"Master of Economics, Dagestan State University"
39,"E-commerce, Self Made",,,"Guangzhou, China",China,,,"Bachelor of Science, Qingdao University"
45,"Cryptocurrency exchange, Self Made",,,"Dubai, United Arab Emirates",Canada,,,
70,"Banks, real estate, Self Made",8,1,"Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University"
43,"Software, Self Made",,,"Sydney, Australia",Australia,Married,4,"Bachelor of Arts/Science, University of New South Wales"
61,Medical devices,3,,"Bloomington, Indiana",United States,Married,,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management"
82,"Business software, Self Made",8,3,"Incline Village, Nevada",United States,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
64,"Oil, Self Made",8,2,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin"
74,"Steel, Self Made",,,"Magnitogorsk, Russia",Russia,Married,2,"Master of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute"
41,"Facebook, Self Made",,,"Singapore, Singapore",Brazil,Married,1,"Bachelor of Arts/Science, Harvard University"
58,Auto parts,,,"Herzogenaurach, Germany",Germany,Divorced,4,
74,Walmart,1,1,"Jackson, Wyoming",United States,Widowed,1,"High School Graduate, High School"
43,"Software, Self Made",,,"Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of New South Wales"
82,"Banking, property",,,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"LLB, Middle Temple"
59,"Real estate, Self Made",,,"Beijing, China",China,Divorced,1,"Bachelor of Engineering, Northwestern Polytechnical University"
85,"Oil, Self Made",9,,"Midland, Texas",United States,Married,2,"Master of Science, University of Texas, Austin"
75,"Diversified, Self Made",,,"Shanghai, China",China,Married,1,
74,"Infrastructure, commodities, Self Made",,,"Dubai, United Arab Emirates",Cyprus,Married,,
80,Hermes,,,"Martigny, Switzerland",France,,,
52,Shipping,,,"Marseille, France",France,,2,
53,Shipping,,,"Marseille, France",France,,,"Bachelor of Arts/Science, Concordia University"
55,Shipping,,,"Marseille, France",France,Married,1,
76,"Investments, Self Made",,,"Stockholm, Sweden",Sweden,Married,2,"Master of Business Administration, Gothenburg University"
63,"Fertilizers, Self Made",,,"Moscow, Russia",Russia,Married,2,"Master, Saint Petersburg Mining University; Bachelor of Arts/Science, State Central Institute of Physical Culture"
59,"Private equity, Self Made",7,1,"Seoul, South Korea",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College"
53,"Smartphones, Self Made",,,"Beijing, China",China,Married,2,"Bachelor of Science in Engineering, Wuhan University"
77,Manufacturing,,,"Haiger, Germany",Germany,Married,3,
64,"Pharmaceuticals, Self Made",,,"Lianyungang, China",China,Married,1,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University"
71,Warehouse automation,5,,"Keene, New Hampshire",United States,Married,3,
70,"Solar panels, Self Made",,,"Xingtai, China",China,Married,2,"Associate in Arts/Science, Hebei Broadcast and Television University"
67,"Chemicals, Self Made",,,"Ningbo, China",China,Married,2,
59,"Candy, pet food",2,,"Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Duke University"
63,"Candy, pet food",2,,"Alexandria, Virginia",United States,Married,3,"Bachelor of Arts/Science, Vassar College"
64,"Candy, pet food",2,,"New York, New York",United States,Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University"
66,"Candy, pet food",2,,"Philadelphia, Pennsylvania",United States,Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University"
71,Investments,,,"Paris, France",France,Married,4,"LLB, Universite Paris X Nanterre"
94,"Diversified, Self Made",,,"Vancouver, Canada",Canada,Married,3,
57,"Biotech, investments",,,"Gstaad, Switzerland",Switzerland,Divorced,3,"Bachelor of Arts/Science, Babson College; Master of Business Administration, Harvard University"
44,"E-commerce, Self Made",,,"Beijing, China",China,,,"Graduate, Tsinghua University"
41,"Airbnb, Self Made",8,1,"San Francisco, California",United States,Single,,"Bachelor of Arts/Science, Rhode Island School of Design"
76,"Vacuums, Self Made",,,"Gloucestershire, United Kingdom",United Kingdom,Married,3,
56,"Steel, investments, Self Made",,,"Moscow, Russia",Russia,Married,7,"Master, Moscow State Law Academy"
79,Diversified,,,"Stockholm, Sweden",Sweden,Married,4,"Master of Arts, University of Stockholm"
48,"Energy, investments, Self Made",,,"Prague, Czech Republic",Czech Republic,In Relationship,1,"Law Degree, Masaryk University"
82,"Cable television, Self Made",8,3,"Elizabeth, Colorado",United States,Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University"
78,Software services,,,"Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Stanford University"
86,"Discount brokerage, Self Made",8,3,"Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University"
63,"Hardware stores, Self Made",10,1,"Beverly Hills, California",United States,Married,,
72,"Google, Self Made",,,"Palo Alto, California",Canada,Divorced,4,"Bachelor of Arts/Science, University of British Columbia; Doctorate, University of Waterloo; Master of Science, University of Waterloo"
66,"Mining, Self Made",,,"Ruschlikon, Switzerland",Switzerland,Married,2,"Master of Business Administration, Marshall School of Business; Bachelor of Arts/Science, University of Witwatersrand"
56,Real estate,,,"Hamburg, Germany",Germany,Married,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College"
73,"Alcoholic beverages, Self Made",8,,"Vancouver, Canada",Canada,,,"Bachelor of Arts/Science, University of British Columbia"
57,"Hydraulic machinery, Self Made",,,"Changzhou, China",China,Married,,
68,Packaging,,,"London, United Kingdom",Sweden,,,
63,Packaging,,,"Surrey, United Kingdom",Sweden,,,
71,Packaging,,,"Newmarket, United Kingdom",Sweden,,,
47,"Ecommerce, Self Made",,,"Moscow region, Russia",Russia,Married,7,"Bachelor of Science, State University of Management"
72,"Venture capital, Self Made",8,4,"Woodside, California",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University"
49,"E-commerce, Self Made",,,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Renmin University of China"
39,"Facebook, Self Made",8,4,"San Francisco, California",United States,Married,,"Drop Out, Harvard University"
56,"EBay, PayPal, Self Made",8,4,"Honolulu, Hawaii",United States,Married,3,"Bachelor of Arts/Science, Tufts University"
64,"Batteries, Self Made",,,"Ningde, China",China,,,
72,Oil,,,"London, United Kingdom",France,Widowed,3,
52,"Chemicals, Self Made",,,"Wujiang, China",China,Married,1,"Bachelor of Arts/Science, Nanjing Normal University"
80,"Retail, real estate",,,"Hamburg, Germany",Germany,Married,2,"Doctorate, University of Hamburg; Doctorate, University of Munich"
72,"Private equity, Self Made",8,2,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University"
68,"Investments, Self Made",,,"Auckland, New Zealand",New Zealand,Married,2,
68,"Soft drinks, fast food",,,"Delhi, India",India,Married,2,
79,"Software, Self Made",,,"Heidelberg, Germany",Germany,Married,2,"Master of Science, University of Karlsruhe"
75,"Beer, Self Made",,,"St. Gallen, Switzerland",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
73,"Real estate, Self Made",,,"Manila, Philippines",Philippines,Married,3,
67,"Google, Self Made",,,"Palo Alto, California",Germany,Single,,"Master of Science, Carnegie Mellon University"
48,"Investments, Self Made",7,2,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Williams College"
74,Walmart,1,1,"Electra, Texas",United States,Married,2,"Registered Nurse, Lincoln University"
55,"Solar wafers and modules, Self Made",,,"Xi'an, China",China,Married,,
75,"Media, automotive",4,4,"Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, University of Denver"
78,Diamonds,,,"Johannesburg, South Africa",South Africa,Married,1,"Bachelor of Arts/Science, Oxford U Christ Church; Master of Arts, Oxford U Christ Church"
73,"Media, automotive",1,1,"New South Wales, Australia",United States,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver"
77,Aluminum products,,,"Binzhou, China",China,Widowed,3,
75,"Sporting goods retail, Self Made",9,2,"Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University"
82,Drugstores,,,"Monte Carlo, Monaco",Monaco,Married,2,"Bachelor of Engineering, Politecnico di Milano"
,Investments,,,"Thurgau, Switzerland",Germany,Widowed,4,
75,"Real estate, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,3,
61,"Oil, banking, telecom, Self Made",,,"Moscow, Russia",Russia,Married,4,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"
